TreeID,carbon_tls,carbon_itree,species
QF1,163.7268708,252.7414624,Quercus falcata
QF2,615.8833631,812.1111168,Quercus falcata
QF3,632.1071133,1227.828185,Quercus falcata
QF4,403.9357903,597.153868,Quercus falcata
QF5,304.1308136,567.5796696,Quercus falcata
QF6,379.0451699,693.315372,Quercus falcata
QF7,1364.024801,1358.054448,Quercus falcata
QF8,1019.990189,1348.574375,Quercus falcata
QF9,2198.126459,2608.335437,Quercus falcata
QF10,356.2190507,668.7760448,Quercus falcata
QF11,74.77112687,141.8835776,Quercus falcata
QF12,2246.138843,2909.429806,Quercus falcata
QF13,1665.495974,2206.906517,Quercus falcata
QF14,1940.646727,2385.984638,Quercus falcata
QF15,778.247688,1013.324528,Quercus falcata
QF16,2164.278277,2413.925906,Quercus falcata
QF17,194.1221378,321.5060096,Quercus falcata
QF18,582.851172,863.2309352,Quercus falcata
QF20,988.242211,1246.879049,Quercus falcata
QF22,835.0093167,1039.814301,Quercus falcata
QF23,1659.975313,2611.238426,Quercus falcata
QF24,316.2825637,599.9207792,Quercus falcata
QF25,2618.055672,2982.231322,Quercus falcata
QF26,407.146785,935.8963736,Quercus falcata
QF27,601.1693461,913.3528512,Quercus falcata
QF28,896.3566879,1274.230646,Quercus falcata
QL1,749.8370302,1179.021686,Quercus lyrata
QL3,412.5553863,1029.744558,Quercus lyrata
QL4,266.8505973,465.2039552,Quercus lyrata
QL5,382.6953417,567.5343104,Quercus lyrata
QL6,379.2118635,387.7304416,Quercus lyrata
QL7,856.330634,1573.646726,Quercus lyrata
QL8,988.033811,1073.924419,Quercus lyrata
QL9,161.0889454,265.804912,Quercus lyrata
QL10,329.4541533,1011.101927,Quercus lyrata
QL11,244.7002837,27.9412672,Quercus lyrata
QL12,360.4114905,487.2485264,Quercus lyrata
QL13,218.6525246,319.9184376,Quercus lyrata
QL14,483.2863226,552.24826,Quercus lyrata
QL15,231.8364107,433.860748,Quercus lyrata
QL16,428.47649,1028.51986,Quercus lyrata
QL17,279.7029593,419.345804,Quercus lyrata
QL18,463.0634722,936.3499656,Quercus lyrata
QL19,965.3334614,1334.830538,Quercus lyrata
QL20,2802.332682,4405.330863,Quercus lyrata
QL21,605.3662884,993.820072,Quercus lyrata
QL22,191.4797367,345.7731816,Quercus lyrata
QL23,185.8679943,344.0041728,Quercus lyrata
QL24,859.3614342,1486.874576,Quercus lyrata
QL25,684.9358369,1393.07175,Quercus lyrata
QL26,177.6941377,272.7448696,Quercus lyrata
QL27,315.5426196,747.519616,Quercus lyrata
QL28,404.8503741,595.3848592,Quercus lyrata
QL29,342.2447781,532.3355712,Quercus lyrata
QL30,351.1659956,408.3235184,Quercus lyrata
TD2,300.3987411,395.1239912,Taxodium distichum
TD3,150.0439814,259.4999832,Taxodium distichum
TD4,177.4629093,354.3914296,Taxodium distichum
TD5,160.0765281,363.2364736,Taxodium distichum
TD6,322.4424993,528.888272,Taxodium distichum
TD7,155.9285904,388.4561888,Taxodium distichum
TD8,152.656396,382.3326968,Taxodium distichum
TD9,197.8630219,422.067356,Taxodium distichum
TD10,61.82902597,92.8049232,Taxodium distichum
TD11,286.7602106,668.9574816,Taxodium distichum
TD12,160.4021535,416.7149704,Taxodium distichum
TD13,142.5376896,215.3201224,Taxodium distichum
TD14,188.8004275,339.9218448,Taxodium distichum
TD15,130.1260268,425.8321696,Taxodium distichum
TD16,1026.617118,1458.84259,Taxodium distichum
TD17,240.0589835,490.8772624,Taxodium distichum
TD18,165.9724297,199.7165576,Taxodium distichum
TD19,65.16596129,104.0086456,Taxodium distichum
TD20,75.63610493,74.615884,Taxodium distichum
TD21,81.79813728,125.5542656,Taxodium distichum
TD22,100.3678255,204.3885552,Taxodium distichum
TD25,66.5805506,131.9499128,Taxodium distichum
TD27,43.67901063,70.5789152,Taxodium distichum
TD28,82.63468174,149.458564,Taxodium distichum
TD29,62.39141164,93.5306704,Taxodium distichum
TD30,128.0967693,264.4894952,Taxodium distichum
