branch_order,tree_volume_L,TreeID,Species,SG,mass,carbon
0,262.1639664,QF1,Quercus falcata,0.52,136.3252625,68.16263127
1,180.4380939,QF1,Quercus falcata,0.52,93.82780881,46.9139044
2,122.4931088,QF1,Quercus falcata,0.52,63.69641659,31.84820829
3,48.44218343,QF1,Quercus falcata,0.52,25.18993538,12.59496769
4,14.16359234,QF1,Quercus falcata,0.52,7.365068015,3.682534007
5,1.831099813,QF1,Quercus falcata,0.52,0.952171903,0.476085951
6,0.172347894,QF1,Quercus falcata,0.52,0.089620905,0.044810453
7,0.014341114,QF1,Quercus falcata,0.52,0.00745738,0.00372869
0,1262.251561,QF10,Quercus falcata,0.52,656.3708119,328.185406
1,63.38262202,QF10,Quercus falcata,0.52,32.95896345,16.47948173
2,30.66388021,QF10,Quercus falcata,0.52,15.94521771,7.972608854
3,12.39515681,QF10,Quercus falcata,0.52,6.445481542,3.222740771
4,1.269538578,QF10,Quercus falcata,0.52,0.660160061,0.33008003
5,0.110512748,QF10,Quercus falcata,0.52,0.057466629,0.028733314
0,145.3428349,QF11,Quercus falcata,0.52,75.57827414,37.78913707
1,84.16331211,QF11,Quercus falcata,0.52,43.7649223,21.88246115
2,43.90725012,QF11,Quercus falcata,0.52,22.83177006,11.41588503
3,11.21711532,QF11,Quercus falcata,0.52,5.832899968,2.916449984
4,2.876523042,QF11,Quercus falcata,0.52,1.495791982,0.747895991
5,0.07422172,QF11,Quercus falcata,0.52,0.038595295,0.019297647
0,7018.478012,QF12,Quercus falcata,0.52,3649.608566,1824.804283
1,1308.585549,QF12,Quercus falcata,0.52,680.4644853,340.2322427
2,261.0353145,QF12,Quercus falcata,0.52,135.7383635,67.86918176
3,45.97382954,QF12,Quercus falcata,0.52,23.90639136,11.95319568
4,4.438796223,QF12,Quercus falcata,0.52,2.308174036,1.154087018
5,0.484048257,QF12,Quercus falcata,0.52,0.251705094,0.125852547
0,4134.938884,QF13,Quercus falcata,0.52,2150.16822,1075.08411
1,1687.065099,QF13,Quercus falcata,0.52,877.2738513,438.6369256
2,488.1339422,QF13,Quercus falcata,0.52,253.8296499,126.914825
3,81.25852274,QF13,Quercus falcata,0.52,42.25443183,21.12721591
4,13.06801071,QF13,Quercus falcata,0.52,6.795365567,3.397682784
5,1.174640599,QF13,Quercus falcata,0.52,0.610813111,0.305406556
6,0.114646915,QF13,Quercus falcata,0.52,0.059616396,0.029808198
0,5046.967611,QF14,Quercus falcata,0.52,2624.423158,1312.211579
1,1888.962068,QF14,Quercus falcata,0.52,982.2602756,491.1301378
2,473.3752586,QF14,Quercus falcata,0.52,246.1551345,123.0775672
3,52.38179094,QF14,Quercus falcata,0.52,27.23853129,13.61926565
4,2.07979417,QF14,Quercus falcata,0.52,1.081492969,0.540746484
5,0.259349258,QF14,Quercus falcata,0.52,0.134861614,0.067430807
0,2048.087401,QF15,Quercus falcata,0.52,1065.005448,532.5027241
1,709.3774295,QF15,Quercus falcata,0.52,368.8762633,184.4381317
2,170.5393105,QF15,Quercus falcata,0.52,88.68044144,44.34022072
3,59.81841467,QF15,Quercus falcata,0.52,31.10557563,15.55278781
4,5.294834202,QF15,Quercus falcata,0.52,2.753313785,1.376656892
5,0.131820155,QF15,Quercus falcata,0.52,0.068546481,0.03427324
6,0.011128882,QF15,Quercus falcata,0.52,0.005787019,0.002893509
0,5221.714496,QF16,Quercus falcata,0.52,2715.291538,1357.645769
1,2268.43874,QF16,Quercus falcata,0.52,1179.588145,589.7940723
2,589.1433874,QF16,Quercus falcata,0.52,306.3545614,153.1772807
3,185.7237711,QF16,Quercus falcata,0.52,96.576361,48.2881805
4,50.60445712,QF16,Quercus falcata,0.52,26.3143177,13.15715885
5,8.397033608,QF16,Quercus falcata,0.52,4.366457476,2.183228738
6,0.125334608,QF16,Quercus falcata,0.52,0.065173996,0.032586998
0,448.619203,QF17,Quercus falcata,0.52,233.2819856,116.6409928
1,168.7061103,QF17,Quercus falcata,0.52,87.72717733,43.86358867
2,103.2402408,QF17,Quercus falcata,0.52,53.6849252,26.8424626
3,22.84526675,QF17,Quercus falcata,0.52,11.87953871,5.939769356
4,2.180775604,QF17,Quercus falcata,0.52,1.134003314,0.567001657
5,1.018410392,QF17,Quercus falcata,0.52,0.529573404,0.264786702
6,0.013599973,QF17,Quercus falcata,0.52,0.007071986,0.003535993
0,1873.923491,QF18,Quercus falcata,0.52,974.4402151,487.2201075
1,232.5559398,QF18,Quercus falcata,0.52,120.9290887,60.46454435
2,115.9761436,QF18,Quercus falcata,0.52,60.30759465,30.15379733
3,17.10065936,QF18,Quercus falcata,0.52,8.892342866,4.446171433
4,1.931597264,QF18,Quercus falcata,0.52,1.004430577,0.502215289
5,0.212748335,QF18,Quercus falcata,0.52,0.110629134,0.055314567
6,0.034698369,QF18,Quercus falcata,0.52,0.018043152,0.009021576
0,1427.828654,QF2,Quercus falcata,0.52,742.4708998,371.2354499
1,625.5385168,QF2,Quercus falcata,0.52,325.2800287,162.6400144
2,219.2251779,QF2,Quercus falcata,0.52,113.9970925,56.99854624
3,86.65253568,QF2,Quercus falcata,0.52,45.05931855,22.52965928
4,9.178816011,QF2,Quercus falcata,0.52,4.772984326,2.386492163
5,0.358465941,QF2,Quercus falcata,0.52,0.186402289,0.093201145
0,2643.042987,QF20,Quercus falcata,0.52,1374.382353,687.1911766
1,789.8817744,QF20,Quercus falcata,0.52,410.7385227,205.3692614
2,313.4331441,QF20,Quercus falcata,0.52,162.9852349,81.49261747
3,47.22345722,QF20,Quercus falcata,0.52,24.55619776,12.27809888
4,6.855991878,QF20,Quercus falcata,0.52,3.565115776,1.782557888
5,0.468590921,QF20,Quercus falcata,0.52,0.243667279,0.121833639
6,0.025635215,QF20,Quercus falcata,0.52,0.013330312,0.006665156
0,2093.361727,QF22,Quercus falcata,0.52,1088.548098,544.274049
1,816.6273214,QF22,Quercus falcata,0.52,424.6462071,212.3231036
2,231.8374408,QF22,Quercus falcata,0.52,120.5554692,60.2777346
3,63.3688106,QF22,Quercus falcata,0.52,32.95178151,16.47589076
4,5.788953069,QF22,Quercus falcata,0.52,3.010255596,1.505127798
5,0.590041984,QF22,Quercus falcata,0.52,0.306821832,0.153410916
0,5500.464559,QF23,Quercus falcata,0.52,2860.241571,1430.120785
1,545.2078268,QF23,Quercus falcata,0.52,283.5080699,141.754035
2,277.8081383,QF23,Quercus falcata,0.52,144.4602319,72.23011596
3,46.73755147,QF23,Quercus falcata,0.52,24.30352676,12.15176338
4,12.78859358,QF23,Quercus falcata,0.52,6.650068663,3.325034332
5,1.269297337,QF23,Quercus falcata,0.52,0.660034615,0.330017308
6,0.244470409,QF23,Quercus falcata,0.52,0.127124613,0.063562306
0,624.9192065,QF24,Quercus falcata,0.52,324.9579874,162.4789937
1,311.4810505,QF24,Quercus falcata,0.52,161.9701463,80.98507314
2,208.0928075,QF24,Quercus falcata,0.52,108.2082599,54.10412996
3,57.80935744,QF24,Quercus falcata,0.52,30.06086587,15.03043293
4,12.88010728,QF24,Quercus falcata,0.52,6.697655787,3.348827893
5,0.95211395,QF24,Quercus falcata,0.52,0.495099254,0.247549627
6,0.196398012,QF24,Quercus falcata,0.52,0.102126966,0.051063483
7,0.140357594,QF24,Quercus falcata,0.52,0.072985949,0.036492974
0,6919.822458,QF25,Quercus falcata,0.52,3598.307678,1799.153839
1,2289.334427,QF25,Quercus falcata,0.52,1190.453902,595.226951
2,729.9203626,QF25,Quercus falcata,0.52,379.5585886,189.7792943
3,110.5544236,QF25,Quercus falcata,0.52,57.48830025,28.74415012
4,18.61226547,QF25,Quercus falcata,0.52,9.678378042,4.839189021
5,1.20095659,QF25,Quercus falcata,0.52,0.624497427,0.312248713
0,1271.60046,QF26,Quercus falcata,0.52,661.232239,330.6161195
1,161.4452497,QF26,Quercus falcata,0.52,83.95152983,41.97576491
2,99.95772569,QF26,Quercus falcata,0.52,51.97801736,25.98900868
3,25.59535633,QF26,Quercus falcata,0.52,13.30958529,6.654792646
4,5.658267268,QF26,Quercus falcata,0.52,2.942298979,1.47114949
5,1.289794506,QF26,Quercus falcata,0.52,0.670693143,0.335346572
6,0.402319892,QF26,Quercus falcata,0.52,0.209206344,0.104603172
0,1778.673171,QF27,Quercus falcata,0.52,924.910049,462.4550245
1,415.8258035,QF27,Quercus falcata,0.52,216.2294178,108.1147089
2,99.24840107,QF27,Quercus falcata,0.52,51.60916856,25.80458428
3,15.75661949,QF27,Quercus falcata,0.52,8.193442137,4.096721068
4,2.291940881,QF27,Quercus falcata,0.52,1.191809258,0.595904629
5,0.363896475,QF27,Quercus falcata,0.52,0.189226167,0.094613084
6,0.029960097,QF27,Quercus falcata,0.52,0.01557925,0.007789625
0,2641.756214,QF28,Quercus falcata,0.52,1373.713231,686.8566157
